시가총액	상장주식수	액면가	매매단위	외국인한도주식수	외국인보유주식수	외국인소진율	투자의견	목표주가	PER_202009	EPS_202009	추정PER	추정EPS	PBR_202009	BPS_202009	배당수익률	동일업종PER	동일업종등락률
879	151569422	500	1	151569422	1213947	0.8	NA	NA	NA	-161	NA	NA	1.14	509	NA	43.41	4.89
"2,755"	8610000	500	1	8610000	15414	0.18	NA	NA	40.92	782	NA	NA	2.78	11524	NA	43.41	4.89
"1,054"	10695682	500	1	10695682	6665753	62.32	NA	NA	NA	-1407	NA	NA	19.9	495	NA	-35.57	-0.05
"42조 1,868"	134997805	1000	1	134997805	27548124	20.41	3.92	372348	84.46	3700	72.25	4325	13.18	23717	NA	99.27	0.31
"1조 5,601"	30589758	100	1	30589758	2899131	9.48	4	48167	147.4	346	95.51	534	13	3923	NA	61.85	3.56
"3,888"	24000000	500	1	24000000	4522790	18.84	4	19000	12.72	1274	NA	NA	0.86	18854	NA	63.27	3.47
"2,505"	53985163	500	1	53985163	221192	0.41	NA	NA	4640	1	NA	NA	2.32	2001	NA	-30.14	2.68
"1,088"	2000000	500	1	2000000	18891	0.94	NA	NA	7.7	7067	NA	NA	2.07	26235	NA	21.31	0.98
"2,563"	4029782	5000	1	4029782	367827	9.13	NA	NA	5.35	11885	NA	NA	0.54	117685	NA	14.27	2.38
"2,545"	10080029	5000	1	10080029	1896442	18.81	NA	NA	NA	-1011	NA	NA	0.29	86952	NA	-25.13	-0.59
"1,530"	16000000	500	1	16000000	543385	3.4	NA	NA	164.83	58	NA	NA	0.29	32512	NA	27.45	1.17
"7,191"	201433941	500	1	201433941	6197130	3.08	NA	NA	55.78	64	NA	NA	3.88	921	NA	21.24	2.04
"2,328"	143708390	500	1	143708390	1127885	0.78	NA	NA	67.5	24	NA	NA	1	1622	NA	30.14	2.17
"2조 3,973"	9845181	5000	1	9845181	2403724	24.42	4	293286	NA	-31123	-48.12	-5060	0.71	343130	NA	-27.68	2
"2,288"	1720000	5000	1	1720000	70135	4.08	4	160000	3.55	37477	NA	NA	0.77	172763	NA	25.31	1.67
"2,380"	4000000	5000	1	4000000	114583	2.86	NA	NA	24.46	2433	NA	NA	1.2	49698	NA	7.42	4.06
"1조 2,209"	7140000	5000	1	7140000	348447	4.88	4	199333	27.08	6315	30.36	5632	1.98	86264	NA	30.14	2.17
"2,536"	3872480	5000	1	3872480	86392	2.23	4	76000	NA	-1840	-207.28	-316	0.82	79988	NA	-25.11	1.1
485	11828858	500	1	11828858	82485	0.7	NA	NA	NA	-2514	NA	NA	0.51	8079	NA	121.21	1.77
896	900000	5000	1	900000	235496	26.17	NA	NA	13.34	7456	NA	NA	0.29	348729	NA	30.14	2.17
"5,125"	9386237	5000	1	9386237	692133	7.37	NA	NA	11.63	4693	NA	NA	0.37	148270	4.58	6.3	2.81
"1,331"	85042499	500	1	85042499	1982462	2.33	NA	NA	NA	-42	NA	NA	0.58	2688	NA	30.14	2.17
"1,428"	71047521	500	1	71047521	2854289	4.02	NA	NA	28.71	70	NA	NA	1.91	1054	NA	15.56	1.05
"5조 1,289"	52984990	500	1	52984990	6149952	11.61	NA	NA	2688.89	36	NA	NA	12.99	7454	NA	99.27	0.31
"1,028"	34958700	500	1	34958700	188171	0.54	NA	NA	27.74	106	NA	NA	1.34	2198	NA	14.27	2.38
"3,606"	52330123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17조 712	516526835	5000	1	516526835	299586638	58	3.95	41453	4.74	6973	4.85	6818	0.4	82295	NA	4.89	0.72
271	1214878	5000	1	1214878	13864	1.14	NA	NA	74.09	301	NA	NA	0.79	28270	NA	41.1	2.67
"1,027"	9600000	500	1	9600000	39093	0.41	NA	NA	12.43	861	NA	NA	1.09	9840	NA	196.57	0.91
"1,644"	239359627	500	1	239359627	5517498	2.31	NA	NA	NA	-196	NA	NA	0.74	923	NA	30.14	2.17
"3조 4,464"	503859595	100	1	503859595	16306952	3.24	4	7814	27.47	249	23.92	286	2	3413	NA	34.12	4.45
"4,151"	149840002	5000	1	149840002	114757173	76.59	NA	NA	NA	-3075	NA	NA	4.24	654	NA	54.34	11.24
"1,624"	34845011	500	1	34845011	821626	2.36	NA	NA	34.78	134	NA	NA	2.58	1806	NA	61.85	3.56
804	12033862	500	1	12033862	67423	0.56	NA	NA	NA	-2435	NA	NA	34.26	195	NA	-13.5	0.3
226	25070772	500	1	25070772	357917	1.43	NA	NA	NA	-133	NA	NA	0.62	1441	NA	-35.57	-0.05
"2조 9,818"	17285715	500	1	17285715	1547354	8.95	4	169911	60.15	2868	49.71	3470	6.09	28347	0.55	-30.14	2.68
"2,530"	77124820	500	1	77124820	874193	1.13	NA	NA	61.89	53	NA	NA	4.03	813	NA	34.66	6.1
13조 362	58458490	500	1	58458490	19030866	32.55	3.65	214882	358.52	622	192.57	1158	3.38	66032	NA	82.47	2.35
5조 382	82458180	500	1	82458180	16453147	19.95	3.57	61500	215.9	283	122.44	499	1.67	36619	NA	82.47	2.35
"2,062"	2191024	5000	1	2191024	87397	3.99	NA	NA	5.71	16471	NA	NA	0.22	423056	NA	14.27	2.38
"3,495"	3895809	5000	1	3895809	175489	4.5	4	85000	19.32	4643	NA	NA	0.44	205604	NA	34.12	4.45
"3,672"	8956502	5000	1	8956502	578880	6.46	NA	NA	7.89	5196	NA	NA	0.6	68704	NA	14.27	2.38
"2,686"	11100000	500	1	11100000	5906	0.05	NA	NA	NA	-127	NA	NA	1.99	12173	NA	25.31	1.67
"1조 1,980"	74411764	5000	1	37198441	15355311	41.28	3.33	14573	NA	-11565	-1.96	-8211	2.4	6708	NA	-4.92	2.65
"2,927"	35393340	500	1	35393340	4511871	12.75	NA	NA	18.54	446	NA	NA	0.73	11315	NA	25.05	1.32
"1조 6,713"	30892606	500	1	30892606	1665424	5.39	4	59286	13.04	4148	13.05	4146	1.4	38578	NA	7.42	4.06
"2,325"	146235748	500	1	146235748	3331323	2.28	NA	NA	NA	-473	NA	NA	1.76	901	NA	-18.79	3.6
"6,503"	57545890	5000	1	57545890	681717	1.18	4	15000	5.54	2039	NA	NA	0.73	15432	NA	4.53	1.14
"4,676"	83207283	500	1	83207283	732531	0.88	NA	NA	96.9	58	NA	NA	2	2809	NA	21.46	3.4
"6,431"	26409935	1000	1	26409935	528764	2	3.5	25500	33.54	726	41.55	586	1.93	12609	NA	82.47	2.35
"3,095"	32040000	500	1	32040000	5199856	16.23	4	13000	10.47	923	NA	NA	0.78	12316	NA	63.27	3.47
"1,056"	59991641	500	1	59991641	368421	0.61	NA	NA	NA	-114	NA	NA	1.9	928	NA	21.31	0.98
"1조 1,039"	48203277	500	1	48203277	7471007	15.5	4	23100	24.6	931	15.65	1463	0.76	30043	NA	43.41	4.89
"3조 3,249"	37999178	500	1	37999178	21330033	56.13	4	110000	23.03	3800	NA	NA	2.18	40174	NA	25.05	1.32
647	15604898	500	1	15604898	1958240	12.55	NA	NA	21.15	196	NA	NA	0.39	10498	NA	43.41	4.89
521	14934008	500	1	14934008	832722	5.58	NA	NA	17.11	204	NA	NA	0.32	11034	NA	43.41	4.89
"11조 5,904"	78313250	500	1	78313250	3869070	4.94	3	150000	NA	-1100	NA	NA	26.18	5653	NA	99.27	0.31
"2,159"	25016587	500	1	25016587	282862	1.13	NA	NA	81.42	106	NA	NA	8.07	1070	NA	7.42	4.06
"3,024"	82070000	1000	1	41026794	521139	1.27	NA	NA	NA	-2550	NA	NA	9.83	375	NA	-4.92	2.65
256	3792775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2,041"	27033459	500	1	27033459	2726523	10.09	NA	NA	NA	-1442	NA	NA	0.91	8265	NA	82.47	2.35
358	21826409	500	1	21826409	0	0	NA	NA	NA	-704	NA	NA	0.44	3727	NA	61.85	3.56
"3,540"	182946253	500	1	182946253	4142025	2.26	NA	NA	NA	-155	NA	NA	1.05	1844	NA	-30.14	2.68
"4,922"	398575766	500	1	398575766	14783382	3.71	NA	NA	39.84	31	NA	NA	0.97	1268	NA	99.27	0.31
"1,203"	22607693	500	1	22607693	11347	0.05	NA	NA	7.07	753	NA	NA	1.44	3705	NA	7.1	0.65
21조 100	21954022	500	1	21954022	10816655	49.27	3.96	1159600	37.45	25556	32.94	29057	6.14	155811	NA	33.06	1.05
"4,549"	33696000	500	1	33696000	4304927	12.78	3.5	15250	562.5	24	NA	NA	1.05	12869	NA	19.01	0.77
"1조 4,439"	19565025	500	1	19565025	2292341	11.72	4	105750	49.17	1501	19.8	3728	0.84	88088	NA	33.06	1.05
"1,144"	79983352	500	1	79983352	1543153	1.93	NA	NA	NA	-239	NA	NA	1.24	1157	NA	-30.14	2.68
412	79439210	100	1	79439210	879779	1.11	NA	NA	3.31	157	NA	NA	0.45	1164	NA	-18.79	3.6
"1,214"	36720000	500	1	36720000	1054943	2.87	NA	NA	9.44	350	NA	NA	0.47	6987	NA	63.27	3.47
"3,462"	84348589	NA	1	84348589	1720614	2.04	NA	NA	NA	-746	NA	NA	0.8	5150	NA	54.34	11.24
2조 550	30000000	5000	1	30000000	4206232	14.02	4	79222	26.4	2595	21.63	3167	1.44	47563	NA	-216.96	3.18
793	20000000	500	1	20000000	10575074	52.88	NA	NA	39.65	100	NA	NA	0.53	7501	NA	63.27	3.47
"1조 4,999"	44311468	500	1	44311468	10503338	23.7	4	43667	9.16	3696	8.46	3999	0.75	45125	NA	30.14	2.17
"5,175"	13635592	500	1	13635592	2979644	21.85	NA	NA	4.56	8330	NA	NA	0.3	124957	NA	30.14	2.17
"1조 2,894"	182892731	500	1	182892731	7684563	4.2	NA	NA	NA	-4	NA	NA	10.91	646	NA	99.27	0.31
"9,836"	1842040	5000	1	1842040	86290	4.68	NA	NA	5.31	100629	NA	NA	0.27	1959363	NA	-186.03	1.86
"1,285"	22200000	500	1	22200000	47244	0.21	NA	NA	14.37	403	NA	NA	0.82	7061	NA	39.21	4.04
"1,364"	53394505	500	1	53394505	165254	0.31	NA	NA	NA	-155	NA	NA	1.67	1532	NA	43.41	4.89
"1,127"	92734032	500	1	92734032	973517	1.05	NA	NA	NA	-90	NA	NA	0.43	2839	NA	41.1	2.67
"2,070"	6000000	5000	1	6000000	899382	14.99	NA	NA	NA	-5384	NA	NA	0.29	120617	NA	19.16	1.29
2조 600	3671981	5000	1	3671981	599024	16.31	3.67	695833	18.96	29596	16.97	33053	1.4	401831	NA	27.45	1.17
"2,401"	118569966	500	1	118569966	1098364	0.93	NA	NA	NA	-125	NA	NA	4.41	459	NA	-58.26	0.51
"4조 7,641"	39536132	500	1	39536132	16549755	41.86	4	172059	17.4	6924	16.34	7374	2.61	46201	NA	27.45	1.17
"8,238"	62645422	500	1	62645422	3923051	6.26	NA	NA	11.81	1113	NA	NA	0.4	32821	NA	27.45	1.17
"2,115"	48133333	5000	1	48133333	682409	1.42	NA	NA	NA	-261	NA	NA	0.55	8010	NA	-25.11	1.1
"7조 1,504"	722267683	5000	1	722267683	181749840	25.16	3.88	12400	5.31	1865	5.1	1942	0.31	31502	NA	4.89	0.72
"1,508"	14712933	500	1	14712933	340484	2.31	NA	NA	60.29	170	NA	NA	1.92	5329	NA	99.27	0.31
"1,295"	50399433	500	1	50399433	725697	1.44	NA	NA	16.47	156	NA	NA	2.11	1220	NA	25.31	1.67
"4,616"	874203406	500	1	874203406	18569305	2.12	NA	NA	5.33	99	NA	NA	0.87	609	NA	4.53	1.14
"1,018"	30900000	500	1	30900000	522411	1.69	NA	NA	5.95	554	NA	NA	0.49	6735	NA	27.45	1.17
769	18314054	500	1	18314054	162930	0.89	NA	NA	46.67	90	NA	NA	0.61	6834	NA	43.41	4.89
910	20202234	500	1	20202234	145468	0.72	NA	NA	112.63	40	NA	NA	0.75	5967	NA	-30.14	2.68
606	7622000	500	1	7622000	64427	0.85	NA	NA	NA	-98	NA	NA	0.56	14100	NA	7.42	4.06
547	10000000	500	1	10000000	217991	2.18	NA	NA	683.75	8	NA	NA	0.98	5608	NA	-30.14	2.68
837	79378330	500	1	79378330	1051896	1.33	NA	NA	NA	-1648	NA	NA	1.97	536	NA	29.15	1.43
"3,119"	115505985	500	1	115505985	6165508	5.34	4	3800	NA	-1365	NA	NA	0.82	3296	NA	-19.08	0.72
431	2200000	5000	1	2200000	24916	1.13	NA	NA	2.7	7258	NA	NA	0.38	51089	NA	14.27	2.38
"1,130"	45310327	500	1	45310327	429632	0.95	NA	NA	NA	-1047	NA	NA	2.31	1078	NA	30.14	2.17
"1,059"	65157878	1000	1	65157878	1802128	2.77	NA	NA	NA	-550	NA	NA	0.92	1767	NA	30.14	2.17
"8,301"	16244822	500	1	16244822	1011338	6.23	NA	NA	27.59	1852	NA	NA	2.76	18496	NA	99.27	0.31
"4,427"	8889843	5000	1	8889843	1143929	12.87	4	68000	6.3	7901	NA	NA	0.56	89537	2.81	63.27	3.47
954	15611619	500	1	15611619	51446	0.33	NA	NA	NA	-347	NA	NA	0.94	6479	NA	34.12	4.45
"1,594"	42000000	500	1	42000000	0	0	NA	NA	NA	-42	NA	NA	1.87	2030	NA	43.41	4.89
"1,031"	68710343	500	1	68710343	1371028	2	NA	NA	9.32	161	NA	NA	1.1	1364	NA	30.14	2.17
"3,796"	27307225	500	1	27307225	13014275	47.66	4	15000	26.73	520	NA	NA	1.7	8185	NA	21.24	2.04
869	25947500	500	1	25947500	4279667	16.49	NA	NA	14.96	224	NA	NA	0.32	10550	NA	43.41	4.89
"1,451"	26041812	2500	1	26041812	1569227	6.03	NA	NA	18.2	306	NA	NA	0.59	9368	NA	11.67	3.18
"6,527"	199596576	5000	1	199596576	128054555	64.16	NA	NA	8.52	384	NA	NA	0.5	6499	NA	6.3	2.81
714	58494201	500	1	58494201	3430122	5.86	NA	NA	NA	-1749	NA	NA	1.73	1412	NA	83.7	2.6
513	13195454	500	1	13195454	237769	1.8	NA	NA	NA	-330	NA	NA	1.3	2986	NA	25.31	1.67
"1,069"	8035247	1000	1	8035247	54626	0.68	4	17000	33	403	NA	NA	1.07	12482	NA	99.27	0.31
"4,107"	96866418	5000	1	96866418	7315815	7.55	NA	NA	6.49	653	NA	NA	0.47	8994	NA	6.3	2.81
"4조 8,538"	66856810	1000	1	66856810	13463475	20.14	4	79310	27.97	2596	22.87	3174	2.57	28299	NA	99.27	0.31
"1,293"	56702415	1000	1	56702415	1687115	2.98	NA	NA	29.23	78	NA	NA	0.3	7665	NA	6.3	2.81
"5,741"	24800000	500	1	24800000	1863838	7.52	NA	NA	25.89	894	NA	NA	1.66	13922	NA	14.27	2.38
"1,254"	10952635	5000	1	10952635	557589	5.09	NA	NA	50.22	228	NA	NA	0.67	17055	NA	34.12	4.45
684	33442000	500	1	33442000	1126114	3.37	NA	NA	NA	-123	NA	NA	0.69	2974	NA	21.46	3.4
"1조 2,600"	20000000	500	1	20000000	5927622	29.64	4	76824	19.62	3211	19.27	3269	1.63	38672	NA	17.83	1.79
"3,243"	63341590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4조 7,946"	27875819	5000	1	27875819	8825481	31.66	4	220105	8.58	20035	8.84	19459	0.51	337167	NA	-27.68	2
"1,560"	41268398	1000	1	41268398	1381079	3.35	NA	NA	NA	-1926	NA	NA	2.02	1874	NA	61.85	3.56
"3,823"	24193925	5000	1	24193925	510650	2.11	4	16000	26.69	592	NA	NA	0.93	17054	NA	63.27	3.47
306	42851600	500	1	42851600	286616	0.67	NA	NA	10.98	65	NA	NA	0.57	1261	NA	-18.79	3.6
"2,033"	723342542	200	1	723342542	2321787	0.32	NA	NA	NA	-19	NA	NA	1.31	215	NA	-12.33	4.48
"1,601"	42310049	500	1	42310049	304344	0.72	NA	NA	NA	-597	NA	NA	2.56	1479	NA	-30.14	2.68
"3,583"	17562390	500	1	17562390	76031	0.43	NA	NA	128.3	159	NA	NA	1.58	12892	NA	99.27	0.31
"3,321"	103139897	1000	1	103139897	1064772	1.03	NA	NA	NA	-54	NA	NA	1.24	2592	NA	-25.11	1.1
989	20600000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1,132"	24000000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
441	2800000	5000	1	2800000	5563	0.2	NA	NA	NA	-1897	NA	NA	0.44	35450	NA	63.27	3.47
931	58932995	500	1	58932995	177645	0.3	NA	NA	NA	-181	NA	NA	1.91	828	NA	30.14	2.17
"2,062"	51561397	500	1	51561397	319442	0.62	NA	NA	NA	-522	NA	NA	2.81	1424	NA	30.14	2.17
"2,341"	100909096	500	1	100909096	4520687	4.48	NA	NA	NA	-278	NA	NA	6.88	337	NA	11.55	0.64
"3,214"	15160128	500	1	15160128	692792	4.57	NA	NA	NA	-315	NA	NA	1.69	12573	NA	43.41	4.89
"1,081"	4374754	5000	1	4374754	56977	1.3	NA	NA	10.41	2373	NA	NA	0.55	44634	NA	19.16	1.29
"1,157"	29747874	500	1	29747874	143958	0.48	NA	NA	NA	-891	NA	NA	0.6	6487	NA	11.67	3.18
724	10000000	500	1	10000000	1111013	11.11	NA	NA	NA	-179	NA	NA	0.77	9371	NA	43.41	4.89
"4,463"	23803285	1000	1	23803285	1512366	6.35	4	21500	NA	-615	NA	NA	1.71	10941	NA	99.27	0.31
"1,685"	11540400	1000	1	11540400	243539	2.11	NA	NA	NA	-3682	NA	NA	1.27	11539	NA	99.27	0.31
786	54024880	500	1	54024880	34274260	63.44	NA	NA	38.29	38	NA	NA	0.85	1705	NA	7.42	4.06
"2,218"	2660000	5000	1	2660000	69353	2.61	NA	NA	49.67	1679	NA	NA	0.37	224476	NA	99.27	0.31
"2,110"	2400000	5000	1	2400000	180524	7.52	NA	NA	71.58	1228	NA	NA	0.29	305044	NA	30.14	2.17
"1,568"	77456610	500	1	77456610	788075	1.02	NA	NA	144.64	14	NA	NA	2.98	680	NA	34.12	4.45
1조 325	19085664	2500	1	19085664	1499327	7.86	NA	NA	100	541	NA	NA	4.86	11121	NA	99.27	0.31
214	1200000	5000	1	1200000	13043	1.09	NA	NA	NA	-2088	NA	NA	0.65	27355	NA	43.41	4.89
"7,172"	14202975	1000	1	14202975	196712	1.39	NA	NA	100.4	503	NA	NA	3.93	12838	NA	21.46	3.4
"1,535"	28314440	500	1	28314440	2182981	7.71	4	5622	NA	-1045	NA	NA	5.68	954	NA	-3.27	1.43
"2조 7,666"	46110835	500	1	46110835	4034520	8.75	4	60556	62.24	964	53.62	1119	4.56	13170	NA	61.85	3.56
"1,227"	37080390	1000	1	37080390	980029	2.64	NA	NA	NA	-46	NA	NA	0.4	8301	NA	-216.96	3.18
"2,887"	49347483	1000	1	49347483	996074	2.02	NA	NA	28.96	202	NA	NA	0.91	6451	NA	-216.96	3.18
"5,800"	21929315	500	1	21929315	91337	0.42	NA	NA	NA	-649	NA	NA	1.17	22691	NA	82.47	2.35
"3,616"	26782520	1000	1	26782520	656629	2.45	4	12225	20.03	674	17.42	775	2.32	5830	NA	7.42	4.06
"3,956"	17900000	500	1	17900000	2382262	13.31	4	26500	NA	-602	NA	NA	1.37	16152	NA	61.85	3.56
553	1680000	5000	1	1680000	13389	0.8	NA	NA	NA	-16748	NA	NA	0.56	58295	NA	30.14	2.17
"8,528"	165600000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
998	13335601	100	1	13335601	91618	0.69	NA	NA	17.16	436	NA	NA	0.6	12544	NA	30.14	2.17
843	36909430	500	1	36909430	516461	1.4	NA	NA	NA	-1565	NA	NA	1.21	1885	NA	82.47	2.35
"6,677"	16385071	5000	1	4915521	1157649	23.55	3.92	39625	NA	-3737	-14.11	-2888	2.36	17276	NA	-18.79	3.6
"2조 3,411"	115041225	200	1	115041225	37677023	32.75	4	27313	17.25	1180	16.38	1242	2.14	9506	NA	17.83	1.79
"7,720"	14704872	500	1	14704872	687102	4.67	NA	NA	NA	-505	NA	NA	4.4	11938	NA	99.27	0.31
711	10000000	500	1	10000000	483568	4.84	NA	NA	17.38	409	NA	NA	0.63	11266	NA	21.46	3.4
"3,091"	15973355	500	1	15973355	1522070	9.53	NA	NA	NA	-5527	NA	NA	0.74	26133	NA	99.27	0.31
"1,425"	32128774	5000	1	32128774	643438	2	NA	NA	6.26	709	NA	NA	0.28	15894	NA	4.89	0.72
"7,854"	38499615	5000	1	19245958	473845	2.46	3	16000	NA	-9414	-2.15	-9481	3.81	5350	NA	-4.92	2.65
796	12800000	500	1	12800000	331092	2.59	NA	NA	12.62	493	NA	NA	0.31	20253	NA	34.12	4.45
"3,837"	6649138	5000	1	6649138	25287	0.38	NA	NA	19.39	2976	NA	NA	0.67	85825	NA	30.14	2.17
"1,075"	5192239	5000	1	5192239	8247	0.16	NA	NA	33.55	617	NA	NA	2.1	9840	NA	63.27	3.47
"3,128"	4000000	5000	1	4000000	115865	2.9	NA	NA	7.57	10327	NA	NA	0.41	189281	NA	21.46	3.4
"1,339"	1257651	500	1	1257651	69247	5.51	NA	NA	11.65	9142	NA	NA	0.96	111239	NA	41.1	2.67
499	83774593	500	1	83774593	567336	0.68	NA	NA	NA	-1055	NA	NA	0.4	1508	NA	21.46	3.4
"1,029"	600000	5000	1	600000	0	0	NA	NA	11.42	15022	NA	NA	0.78	218780	NA	27.45	1.17
"2조 1,227"	10885685	2500	1	10885685	1455223	13.37	4	199483	23.13	8429	NA	NA	4.07	47895	NA	99.27	0.31
"3,835"	5485962	2500	1	5485962	61103	1.11	2	29000	35.96	1944	NA	NA	2.27	30810	NA	99.27	0.31
"5,561"	5009861	2500	1	5009861	554554	11.07	4	166000	9.81	11316	NA	NA	1.09	101448	NA	99.27	0.31
565	54612089	200	1	54612089	1033610	1.89	NA	NA	NA	-42	NA	NA	1.33	780	NA	-35.57	-0.05
"1조 5,271"	14406749	500	1	14406749	3265410	22.67	4	127571	21.39	4955	18.34	5779	3.33	31826	NA	21.31	0.98
"1,614"	19072280	500	1	19072280	10708841	56.15	NA	NA	NA	-427	NA	NA	0.74	11356	NA	43.41	4.89
"4,556"	11578744	5000	1	11578744	153837	1.33	4	56000	28.35	1388	NA	NA	0.25	154564	NA	5.34	0.76
198	64581636	500	1	64581636	588281	0.91	NA	NA	NA	-241	NA	NA	1.7	180	NA	43.41	4.89
999	16567409	1000	1	16567409	5562705	33.58	NA	NA	5.06	1192	NA	NA	0.74	8128	NA	17.83	1.79
538	12447744	500	1	12447744	165597	1.33	NA	NA	NA	-60	NA	NA	0.55	7833	NA	30.14	2.17
619	13000000	500	1	13000000	56027	0.43	NA	NA	8.12	586	NA	NA	1.39	3430	NA	63.27	3.47
358	10000000	500	1	10000000	345049	3.45	NA	NA	18.43	194	NA	NA	1.33	2690	NA	63.27	3.47
"1,546"	55895292	500	1	55895292	1399463	2.5	NA	NA	4.82	574	NA	NA	0.47	5904	NA	63.27	3.47
551	12000000	500	1	12000000	29445	0.25	NA	NA	255	18	NA	NA	1.98	2313	NA	63.27	3.47
"7,582"	45000000	1000	1	22495500	596490	2.65	3.4	14750	NA	-5897	-3.28	-5145	14.99	1124	NA	-4.92	2.65
"8,417"	44771008	1000	1	44771008	5280549	11.79	NA	NA	NA	-345	NA	NA	7.65	2457	NA	-58.26	0.51
"4,277"	145471745	500	1	145471745	243215	0.17	NA	NA	94.84	31	NA	NA	4.08	721	NA	7.42	4.06
829	55445022	500	1	55445022	2680935	4.84	NA	NA	10.68	140	NA	NA	0.97	1542	NA	83.7	2.6
949	1429220	5000	1	1429220	3620	0.25	NA	NA	NA	-2725	NA	NA	2.13	31170	NA	51.92	1.31
460	24000000	500	1	24000000	122355	0.51	NA	NA	NA	-221	NA	NA	2.34	819	NA	43.41	4.89
"38조 9,409"	88501998	500	1	88501998	29768669	33.64	4	495040	NA	-901	85.34	5156	5.9	74548	NA	114.98	2.7
"1,572"	40000000	500	1	40000000	2105166	5.26	NA	NA	NA	-3083	NA	NA	1.16	3391	NA	63.27	3.47
539	13141388	500	1	13141388	29979	0.23	NA	NA	NA	-1884	NA	NA	17.9	229	NA	39.21	4.04
470	66042072	500	1	66042072	610769	0.92	NA	NA	NA	-254	NA	NA	0.29	2469	NA	43.41	4.89
"3,748"	13554044	500	1	13554044	1516592	11.19	NA	NA	6.74	4101	NA	NA	0.63	43857	NA	21.24	2.04
"1조 7,862"	8886471	5000	1	8886471	1049378	11.81	4	200000	NA	-315	NA	NA	0.37	542803	NA	34.12	4.45
"5,861"	15970512	1000	1	15970512	1013967	6.35	NA	NA	NA	NA	NA	NA	0.33	110614	NA	118.2	4.45
"5,966"	20861556	500	1	20861556	2176056	10.43	4	34500	14.04	2037	NA	NA	1.83	15658	NA	21.24	2.04
"1,334"	30000000	500	1	30000000	156158	0.52	NA	NA	15.82	281	NA	NA	0.67	6618	NA	11.67	3.18
589	46224127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6조 1,883"	261111808	5000	1	127944788	114567102	89.54	4	33690	10.1	2347	9.13	2597	0.41	57342	NA	11.55	0.64
"4,122"	47821966	2500	1	23432763	7856519	33.53	4	13100	6.45	1337	6.25	1379	0.56	15395	NA	-18.79	3.6
